Axial load (kN),lat disp top (mm),Lat drift,Lat Load_Resultant (kN),Total Load (kN)
249.7708497,-0.326821118,-0.01347716,-44.99526321,-44.99526321
249.8104153,-0.330898518,-0.0136453,-48.14610056,-48.14610056
249.8337778,-0.331109756,-0.013654011,-46.85188956,-46.85188956
249.7513128,-0.328968841,-0.013565725,-46.91723222,-46.91723222
249.8102788,-0.329246802,-0.013577188,-48.63276778,-48.63276778
249.7451375,-0.324714357,-0.013390283,-48.8117799,-48.8117799
249.8101969,-0.339403401,-0.013996017,-48.06380381,-48.06380381
249.8470301,-0.34044425,-0.014038938,-47.24515328,-47.24515328
249.8070272,-0.351918289,-0.014512094,-50.86820462,-50.86820462
249.8080928,-0.370563533,-0.01528097,-50.56767401,-50.56767401
249.8757207,-0.407989753,-0.01682432,-50.49158246,-50.49158246
249.8196783,-0.435905117,-0.017975469,-53.15752896,-53.15752896
249.8158803,-0.458277109,-0.018898025,-53.51976794,-53.51976794
249.7997589,-0.479255876,-0.019763129,-52.38289994,-52.38289994
249.8276571,-0.508330288,-0.020962074,-52.10151757,-52.10151757
249.792354,-0.50192312,-0.020697861,-52.89113691,-52.89113691
249.7904139,-0.514017986,-0.021196618,-52.54061834,-52.54061834
249.7805226,-0.526615448,-0.021716101,-54.12690753,-54.12690753
249.756559,-0.533644728,-0.022005968,-52.38967888,-52.38967888
249.7675435,-0.529599652,-0.021839161,-53.63125097,-53.63125097
249.7873536,-0.541615697,-0.022334668,-54.10608369,-54.10608369
249.7503291,-0.555978991,-0.022926969,-57.03273959,-57.03273959
249.7819434,-0.566994636,-0.023381222,-56.0738358,-56.0738358
249.7632536,-0.584376199,-0.024097988,-57.70671358,-57.70671358
249.8123281,-0.591054786,-0.024373393,-57.51795425,-57.51795425
249.7911517,-0.604766396,-0.02493882,-56.36775907,-56.36775907
249.8118909,-0.623116034,-0.025695507,-56.78314798,-56.78314798
249.8031198,-0.639067368,-0.026353294,-57.70141195,-57.70141195
249.8370293,-0.655562636,-0.027033511,-57.07102809,-57.07102809
249.7501379,-0.680541347,-0.028063561,-60.72016884,-60.72016884
249.7918895,-0.69810503,-0.028787836,-60.0916766,-60.0916766
249.8409094,-0.719572355,-0.029673087,-61.54591268,-61.54591268
249.8477405,-0.731905172,-0.030181657,-63.97912906,-63.97912906
249.84315,-0.747317302,-0.030817208,-59.67042765,-59.67042765
249.8336138,-0.75476138,-0.031124181,-61.95378633,-61.95378633
249.8568122,-0.767523158,-0.03165044,-61.39440187,-61.39440187
249.8650094,-0.776521175,-0.032021492,-61.61406892,-61.61406892
249.8581511,-0.778329244,-0.032096051,-62.63692963,-62.63692963
249.8534787,-0.789037055,-0.032537611,-61.89844445,-61.89844445
249.8535059,-0.788654956,-0.032521854,-61.93787837,-61.93787837
249.8381496,-0.790598261,-0.03260199,-62.083133,-62.083133
249.8338324,-0.801940686,-0.033069719,-63.71351977,-63.71351977
249.829843,-0.801987894,-0.033071666,-62.59601308,-62.59601308
249.8376031,-0.801866489,-0.033066659,-65.97111892,-65.97111892
249.8379037,-0.818505535,-0.033752806,-63.06397911,-63.06397911
249.7976276,-0.82019566,-0.033822501,-62.10939237,-62.10939237
249.8252798,-0.826284209,-0.034073576,-66.44942763,-66.44942763
249.8618945,-0.83500364,-0.03443314,-65.52688963,-65.52688963
249.8084753,-0.84001101,-0.034639629,-66.52075784,-66.52075784
249.8465382,-0.842123575,-0.034726745,-66.17754773,-66.17754773
249.8374392,-0.851448698,-0.035111287,-66.8487187,-66.8487187
249.8203342,-0.854610182,-0.035241657,-68.213851,-68.213851
249.7946765,-0.872221007,-0.035967877,-65.21292194,-65.21292194
249.8051145,-0.869127767,-0.03584032,-66.84651287,-66.84651287
249.8225475,-0.865197928,-0.035678265,-64.63918399,-64.63918399
249.8184215,-0.875582592,-0.036106499,-63.59426051,-63.59426051
249.7772436,-0.870837652,-0.035910831,-64.00893191,-64.00893191
249.8526043,-0.873052025,-0.036002145,-64.91919697,-64.91919697
249.7983107,-0.878140817,-0.036211992,-65.82919266,-65.82919266
249.7950864,-0.886011885,-0.036536573,-63.03722076,-63.03722076
249.7595101,-0.876692359,-0.036152262,-64.44903939,-64.44903939
249.7910971,-0.889969545,-0.036699775,-64.42916668,-64.42916668
249.7611768,-0.88776939,-0.036609047,-64.56712769,-64.56712769
249.8007699,-0.893095026,-0.036828661,-66.05525487,-66.05525487
249.7933649,-0.887478258,-0.036597042,-65.66795518,-65.66795518
249.822684,-0.889754572,-0.03669091,-65.45133431,-65.45133431
249.7967806,-0.892017561,-0.036784229,-65.559547,-65.559547
249.8713488,-0.894382955,-0.036881771,-65.66405404,-65.66405404
249.8031471,-0.896937944,-0.036987132,-66.95859716,-66.95859716
249.853342,-0.886043971,-0.036537896,-64.34852525,-64.34852525
249.8058796,-0.90186134,-0.037190158,-63.95159398,-63.95159398
249.8382043,-0.907060914,-0.037404574,-66.46578281,-66.46578281
249.7945673,-0.916792255,-0.037805866,-68.85595184,-68.85595184
249.8015077,-0.914964175,-0.037730481,-66.01256735,-66.01256735
249.773746,-0.921445355,-0.037997747,-66.40180531,-66.40180531
249.7851131,-0.932032102,-0.038434313,-68.61740925,-68.61740925
249.8559105,-0.949049435,-0.039136059,-69.50808631,-69.50808631
249.7850584,-0.965794062,-0.039826559,-68.11691373,-68.11691373
249.8282582,-0.990322395,-0.040838037,-71.35416341,-71.35416341
249.8008792,-1.008098005,-0.041571052,-70.98225701,-70.98225701
249.8093498,-1.014891113,-0.04185118,-73.1828196,-73.1828196
249.8188586,-1.027102451,-0.04235474,-73.23809829,-73.23809829
249.7930098,-1.049017125,-0.043258438,-71.665787,-71.665787
249.8170278,-1.071055545,-0.044167239,-72.72746076,-72.72746076
249.8094864,-1.086912918,-0.044821151,-73.8749986,-73.8749986
249.8413739,-1.098863558,-0.045313961,-72.43900405,-72.43900405
249.8516479,-1.09971518,-0.04534908,-74.49320545,-74.49320545
249.8374666,-1.116132432,-0.04602608,-70.91164006,-70.91164006
249.8514293,-1.11041156,-0.045790167,-75.39535002,-75.39535002
249.8226021,-1.122023294,-0.046269002,-75.61923518,-75.61923518
249.7859328,-1.125381577,-0.046407488,-72.69688738,-72.69688738
249.8144594,-1.125342422,-0.046405873,-71.92519899,-71.92519899
249.7735549,-1.124151617,-0.046356768,-75.5525209,-75.5525209
249.8322202,-1.13275603,-0.046711589,-73.04877898,-73.04877898
249.7902773,-1.13706373,-0.046889226,-74.13607054,-74.13607054
249.8462103,-1.145351063,-0.047230972,-72.64631932,-72.64631932
249.9040834,-1.144889325,-0.047211931,-74.22327013,-74.22327013
249.8664303,-1.155142291,-0.047634734,-74.64976582,-74.64976582
249.8469481,-1.159455746,-0.047812608,-74.24906254,-74.24906254
249.8626323,-1.164994317,-0.048041003,-75.54864788,-75.54864788
249.8033384,-1.170991747,-0.048288319,-75.88926108,-75.88926108
249.8268373,-1.167820218,-0.048157535,-75.48127604,-75.48127604
249.8106613,-1.169547193,-0.04822875,-73.5462837,-73.5462837
249.8454453,-1.176542592,-0.04851722,-75.35481593,-75.35481593
249.8204162,-1.179149733,-0.048624731,-72.05097093,-72.05097093
249.8114538,-1.190343366,-0.049086324,-72.82381743,-72.82381743
249.8196784,-1.189960644,-0.049070542,-73.16876362,-73.16876362
249.7866978,-1.185773599,-0.04889788,-75.00680714,-75.00680714
249.7859873,-1.191517558,-0.049134745,-74.61440172,-74.61440172
249.8074644,-1.196902743,-0.049356814,-75.46119565,-75.46119565
249.8245968,-1.20193247,-0.049564226,-75.640451,-75.640451
249.8518118,-1.207397545,-0.049789589,-77.07622979,-77.07622979
249.8595993,-1.21145125,-0.049956753,-76.78005353,-76.78005353
249.8220283,-1.220619742,-0.050334835,-76.19498912,-76.19498912
249.8150333,-1.219304567,-0.050280601,-76.73625591,-76.73625591
249.8388054,-1.224968347,-0.050514159,-75.52601331,-75.52601331
249.8118908,-1.237934858,-0.05104886,-76.88056153,-76.88056153
249.8320563,-1.23873798,-0.051081979,-79.46074057,-79.46074057
249.831182,-1.238440696,-0.051069719,-77.41977651,-77.41977651
249.8087486,-1.243482887,-0.051277645,-77.86005654,-77.86005654
249.8396798,-1.244078279,-0.051302197,-77.2410022,-77.2410022
249.8448988,-1.252677492,-0.051656804,-77.91251821,-77.91251821
249.8661297,-1.263098444,-0.052086534,-77.77789862,-77.77789862
249.7755221,-1.266780395,-0.052238367,-80.8751947,-80.8751947
249.8504457,-1.275818878,-0.052611088,-79.43688123,-79.43688123
249.8326575,-1.283785574,-0.052939611,-78.54549195,-78.54549195
249.856129,-1.281107123,-0.05282916,-78.06230598,-78.06230598
249.8062894,-1.280466325,-0.052802735,-79.08671536,-79.08671536
249.8080927,-1.280127311,-0.052788755,-79.18896726,-79.18896726
249.8668675,-1.289721134,-0.053184377,-78.89973539,-78.89973539
249.881131,-1.293578882,-0.053343459,-79.1974391,-79.1974391
249.8721411,-1.296397045,-0.053459672,-78.85512015,-78.85512015
249.8813769,-1.293858935,-0.053355008,-77.94788165,-77.94788165
249.882989,-1.290190093,-0.053203715,-80.48281531,-80.48281531
249.8474125,-1.304009482,-0.053773587,-79.78153429,-79.78153429
