Axial load (kN),lat disp top (mm),Lat drift,Lat Load Act 3_ EW (kN),Total Load (kN)
249.4374378,0.998782,0.041186887,52.96897572,52.96897572
249.426672,0.994412,0.04100668,51.57321018,51.57321018
249.4516466,0.991475,0.040885567,51.42121375,51.42121375
249.3719139,0.986108,0.040664247,51.79197494,51.79197494
249.4081735,0.981249,0.040463876,51.69767885,51.69767885
249.3836361,0.992455,0.040925979,50.80453788,50.80453788
249.3671049,0.975369,0.040221402,50.21819653,50.21819653
249.365766,0.973498,0.040144247,49.82854374,49.82854374
249.3393159,0.961948,0.039667959,50.82002899,50.82002899
249.3620499,0.964793,0.039785278,49.1197848,49.1197848
249.3373486,0.963232,0.039720907,47.39519743,47.39519743
249.2986573,0.955145,0.039387423,49.91128896,49.91128896
249.3460651,0.956292,0.039434722,49.15092896,49.15092896
249.271005,0.948704,0.039121814,47.55178183,47.55178183
249.2927279,0.960614,0.039612948,45.99263092,45.99263092
249.2654036,0.954496,0.03936066,47.61034579,47.61034579
249.2590371,0.953715,0.039328454,48.63491834,48.63491834
249.2638188,0.941271,0.038815299,46.07397276,46.07397276
249.2473695,0.940259,0.038773567,45.20409544,45.20409544
